"asset_id","path","capability","language","entrypoint","data_store","status","verification","tests","last_used","target_module","decision","rationale","risk","owner"
"RULE-PARSER-012","src/strategies/rule_lawyer/parser.py","rule parsing","Python","RuleParser","research artifacts","implemented","model/output inspected","rule analysis tests passed","2026-08-26 verified","RuleContractCompiler","ADAPT","reuse extraction behind versioned facade","missing rule revision and gates","Rules"
"RULE-AUDIT-013","src/strategies/rule_lawyer/rule_analysis_adapter.py","rule audit adapter","Python","RuleAudit adapter","JSON/Markdown","implemented","adapter inspected","rule analysis tests passed","2026-08-26 verified","Rule Lawyer A","ADAPT","map ambiguities and clarity to Gate A","not a full RuleContract","Rules"
"RULE-LEGACY-014","src/strategies/rule_lawyer/{nodes,pipeline}.py","legacy research pipeline","Python","pipeline nodes","research.db/files","partial","workflow inspected","targeted suites passed","historical/non-production","Rule Workflow","REFACTOR","retain useful nodes under explicit A/B protocol","price ordering not guaranteed","Rules"
"RULE-COURT-015","src/strategies/rule_lawyer/clarification_*","clarification adjudication packet/court","Python","clarification court","clarification artifacts","paused shadow","production config and code verified","clarification fixture tests passed","paused 2026-08-26","Rule Lawyer B Adapter","ADAPT","reuse typed verdict and quote checks for dispute subset","not general Rule B","Rules"
"DISP-CORPUS-016","src/strategies/dispute_repricing/contract_corpus.py","PIT contract corpus and precedence primitives","Python","contract corpus builder","dispute.db/raw","implemented","code and canonical DB verified","corpus tests passed","2026-08-14 data","Contract Evidence","KEEP","strong domain corpus and content hashing","corpus hash confused with rule hash","Dispute Domain"
"DISP-MART-017","scripts/analysis/dispute_repricing/canonical.py","raw-to-mart dispute lineage","Python/SQLite","canonical materializer","JRS dispute.db","paused but populated","absolute DB queried","canonical/artifact tests passed","2026-08-14 data","Dispute Domain Mart","KEEP","preserve separate domain truth and link by adapter","relative-path identity ambiguity","Dispute Domain"
"DISP-FWD-018","src/strategies/dispute_repricing/forward_shadow.py","zero-notional shadow evaluation","Python","forward shadow runner","dispute artifacts","paused","production desired state verified","trade-intent/artifact tests passed","paused 2026-08-26","Simulation Evidence","ADAPT","reuse no-live evidence patterns only","domain-specific state","Dispute Domain"
"WAL-CLIENT-019","src/platform/clients/{polymarket_data,polymarket_profile}.py","wallet profile/activity access","Python","platform clients","remote Data/Profile API","implemented","call sites inspected","wallet targeted tests passed","2026-08 verified","Wallet Source Adapter","ADAPT","centralize access and provenance","pagination/schema drift","Wallet Recall"
"WAL-SMART-020","src/strategies/rule_lawyer/services/smart_wallets.py","market wallet discovery and profile","Python","discover_market_wallets","none","implemented","I/O and fields inspected","market intel tests exist","2026-03-08","Wallet Recaller","ADAPT","emit RecallHit only, with freshness/version","network-bound and no persistence","Wallet Recall"
"WAL-INTEL-021","src/workflows/research/market_intel_workflow.py","market intel artifacts","Python","run_market_intel_workflow","JSON/Markdown","implemented","outputs inspected","unit tests exist","2026-03-08","Evidence Adapter","ADAPT","source material for EvidenceItem/RecallHit","not schema-versioned packet","Research"
"WAL-DB-022","runtime/wallets.db","historical wallet facts","SQLite","read-only SQL","wallets.db","stale","counts/max timestamps queried","wallet persistence suites passed","2026-07-09 max snapshot","Wallet History Source","ADAPT","retain immutable provenance behind freshness-gated read-only adapter; not canonical P0 store","48-79 day staleness","Wallet Recall"
"WAL-COPY-023","scripts/copy_trade/copy_trade_wallet_research.py","legacy copy-trade research","Python/CLI","copy_trade_wallet_research","research.db copy_trade_*","partial/empty runtime","CLI/schema/DB queried","limited legacy tests","2026-08-05 one review","Wallet Migration Adapter","REFACTOR","read-only source; migrate identities without legacy live states","weak FKs and unused tables","Wallet Recall"
"WAL-WEATHER-024","scripts/analysis/wallet_weather/","weather wallet history and ladder research","Python/CLI","batch collectors/analyzers","artifact roots","implemented","checkpoint/limits inspected","23 wallet/harness tests passed","2026-08-13","Wallet Specialist Features","ADAPT","reuse offline provenance/features via adapter","weather-only and truncation risk","Wallet Recall"
"EXEC-COPY-025","src/strategies/copy_trade/unified_copy_trade.py","wallet signal to market order","Python","strategy command generator","runtime execution","legacy","direct order output inspected","not in P0 tests","2026-03-08","P0 Execution","ARCHIVE","quarantine from P0 dependency graph","violates recall-only/no-auto-trade","Execution"
"EXEC-PMM-026","src/strategies/smart_money_follow_v1/pmm_adapter.py","wallet-driven PMM size/quote","Python","PMM adapter","runtime execution","legacy","direct trade influence inspected","not in P0 tests","2026-05-12","P0 Execution","ARCHIVE","quarantine from P0 dependency graph","violates no-auto-trade","Execution"
"REVIEW-027","src/workflows/research/market_reporting_workflow.py","market research/report pipeline","Python","report workflow","JSON/Markdown","partial","ordering and outputs inspected","research tests partial","historical","Research Packet Builder","REFACTOR","split blind and market packets; freeze blind hash","price leakage","Research"
"ORCH-028","src/weather_agent_harness/orchestration/","WorkOrder DAG, lease, verification, receipt","Python/SQLite/files","orchestrator API","harness store/artifacts","active research infra","contracts/store verified","23 harness/wallet tests passed","2026-08-13","Task Orchestration","ADAPT","extend WorkOrder payload to task contract; one owner","could duplicate business state","Governance"
"GOV-EVIDENCE-029","src/weather_agent_harness/evidence.py","append-only SHA-chain evidence","Python/files","EvidenceStore","evidence artifacts","active research infra","hash-chain behavior verified","harness tests passed","2026-08-13","Evidence Seal","KEEP","strong immutable evidence substrate","seal layout differs from design pack","Governance"
"DATA-WEATHER-030","runtime/weather.db and src/strategies/runtime lineage","weather canonical signal-to-settlement lineage","Python/SQLite","weather runtime","canonical JRS weather.db","active production","manifest/device/inode/schema verified","production and targeted tests passed","2026-08-26","Lineage Reference","KEEP","reuse lineage conventions only; do not add generic tables","critical production coupling","Weather Production"
"OPS-031","scripts/ops/weather_production_{manifest,ctl}.py","production truth and health control","Python/CLI","strict manifest/health","production runtime","active","strict manifest and health run","operational checks passed","2026-08-26","Deployment Gate","KEEP","remains authoritative for any later production change","unmanaged reliability worker warning","Operations"
"EXEC-AUTO-032","src/strategies/rule_lawyer/auto_order.py","authenticated CLOB order POST","Python","auto_order","exchange","implemented but excluded","source inspected","not invoked","historical","P0 Dependency Graph","ARCHIVE","exclude from P0 imports and prove unreachable","real-money side effect","Execution"
"DOC-LEGACY-033","docs historical PMM/ARB/Rule Lawyer architecture","historical design claims","Markdown","documentation","repository","superseded-for-now","compared with README/runtime","n/a","historical","Reference Archive","ARCHIVE","retain as evidence, not current capability","capability overstatement","Architecture"
"UI-034","weather_dashboard and frontend","FastAPI/React read-only display assets","Python/TypeScript","API/UI","weather DB/API","active weather UI","topology inspected","existing UI suites not run in discovery","2026-08","P0 Watchlist View","ADAPT","reuse minimal read-only patterns after ledger","scope creep/production coupling","Product"
